company_name,phone,street,city,state,zip
Apex Solutions LLC,(614) 555-0182,300 Commerce Park Dr,Columbus,OH,43219
Bright Path Consulting,(512) 555-0347,1100 S Lamar Blvd,Austin,TX,78704
Lakefront Industries,(312) 555-0291,500 W Madison St,Chicago,IL,60661
Desert Peak Technologies,(602) 555-0174,4455 E Camelback Rd,Phoenix,AZ,85018
Peachtree Ventures,(404) 555-0438,3500 Piedmont Rd NE,Atlanta,GA,30305
Cascade Digital Group,(206) 555-0523,1420 5th Ave,Seattle,WA,98101
River City Logistics,(503) 555-0167,200 SW Market St,Portland,OR,97201
Silver State Advisors,(702) 555-0294,3800 Howard Hughes Pkwy,Las Vegas,NV,89169
Summit Data Corp,(720) 555-0381,1660 17th St,Denver,CO,80202
Harbor Light Media,(617) 555-0456,470 Atlantic Ave,Boston,MA,02210
Redwood Capital Group,(415) 555-0192,5500 Hollywood Blvd,Los Angeles,CA,90001
Liberty Bell Partners,(267) 555-0341,201 Liberty Ave,Philadelphia,PA,19101
Alamo Business Services,(210) 555-0477,9900 Alamo Rd,San Antonio,TX,78201
Pacific Bay Enterprises,(858) 555-0228,3311 Bay Rd,San Diego,CA,92101
Lone Star Analytics,(972) 555-0513,1420 Commerce St,Dallas,TX,75201
Silicon Valley Nexus,(650) 555-0364,670 Tech Blvd,San Jose,CA,95101
Congress Square Media,(737) 555-0189,445 Congress Ave,Austin,TX,78702
Gulf Coast Systems,(832) 555-0442,7890 Energy Pkwy,Houston,TX,77001
Sonoran Strategies,(480) 555-0276,233 Cactus Dr,Scottsdale,AZ,85251
Atlantic Bridge Corp,(386) 555-0531,580 Atlantic Blvd,Jacksonville,FL,32201
Horizon Dynamics,(312) 555-0614,800 N Michigan Ave,Chicago,IL,60611
Keystone Advisors,(484) 555-0327,1 Commerce Square,Philadelphia,PA,19103
Riverwalk Partners,(210) 555-0549,200 E Houston St,San Antonio,TX,78205
Bayview Analytics,(619) 555-0183,1 Harbor Dr,San Diego,CA,92101
Landmark Group,(214) 555-0468,2100 McKinney Ave,Dallas,TX,75201
Orchard Hill Tech,(408) 555-0291,200 E Santa Clara St,San Jose,CA,95113
Bluebonnet Solutions,(512) 555-0537,600 Congress Ave,Austin,TX,78701
Bayou Capital,(504) 555-0224,365 Canal St,New Orleans,LA,70130
Copper State Holdings,(623) 555-0387,7600 N 16th St,Phoenix,AZ,85020
First Coast Ventures,(904) 555-0412,1 Independent Dr,Jacksonville,FL,32202
Northgate Industries,(612) 555-0163,100 Washington Ave S,Minneapolis,MN,55401
Heartland Data,(816) 555-0279,2345 Grand Blvd,Kansas City,MO,64108
Crescent City Digital,(504) 555-0341,601 Poydras St,New Orleans,LA,70130
Mill Town Media,(480) 555-0458,1100 W Washington St,Tempe,AZ,85281
Evergreen Systems,(425) 555-0192,110 110th Ave NE,Bellevue,WA,98004
Inland Empire Group,(509) 555-0317,808 W Spokane Falls Blvd,Spokane,WA,99201
Bonneville Consulting,(801) 555-0429,257 E 200 S,Salt Lake City,UT,84111
Sierra Crest Partners,(775) 555-0284,100 W Liberty St,Reno,NV,89501
High Desert Analytics,(208) 555-0513,702 W Idaho St,Boise,ID,83702
Big Sky Services,(406) 555-0367,2 S Dakota St,Billings,MT,59101
Prairie Wind Corp,(605) 555-0142,200 W 10th St,Sioux Falls,SD,57104
Red River Logistics,(701) 555-0289,450 Broadway,Fargo,ND,58102
Mountain State Group,(304) 555-0417,1 Players Club Dr,Charleston,WV,25311
Palmetto Ventures,(803) 555-0563,1201 Main St,Columbia,SC,29201
Magnolia Solutions,(334) 555-0238,445 Dexter Ave,Montgomery,AL,36104
Catfish Country Data,(662) 555-0371,100 E Capitol St,Jackson,MS,39201
First Coast Media,(904) 555-0492,10 N Newnan St,Jacksonville,FL,32202
Bluegrass Analytics,(502) 555-0184,101 S 5th St,Louisville,KY,40202
Low Country Partners,(843) 555-0319,40 Calhoun St,Charleston,SC,29401
Cape Fear Systems,(910) 555-0457,230 Government Center Dr,Wilmington,NC,28403
Hampton Roads Group,(757) 555-0182,500 E Main St,Norfolk,VA,23510
Shenandoah Consulting,(540) 555-0296,213 S Jefferson St,Roanoke,VA,24011
Blue Ridge Capital,(434) 555-0538,700 E Jefferson St,Charlottesville,VA,22902
Smoky Mountain Tech,(828) 555-0163,10 S Pack Square,Asheville,NC,28801
Triad Dynamics,(336) 555-0427,300 S Greene St,Greensboro,NC,27401
Triangle Nexus,(919) 555-0574,421 Fayetteville St,Raleigh,NC,27601
Queen City Partners,(704) 555-0218,200 S Tryon St,Charlotte,NC,28202
Upstate Ventures,(864) 555-0349,101 N Main St,Greenville,SC,29601
Gadsden Holdings,(803) 555-0481,903 Gervais St,Columbia,SC,29201
Battery Point Group,(843) 555-0236,57 Broad St,Charleston,SC,29402
Savannah River Corp,(912) 555-0369,222 W Oglethorpe Ave,Savannah,GA,31401
Cobb County Digital,(678) 555-0514,240 Interstate N Pkwy,Marietta,GA,30339
